A,B,n_AB,P(B|A),P(B),lift,odds_ratio,p_value,q_value_BH,significatiu_FDR
MZ,MZ,6,0.545455,7.5e-05,7246.7273,,0.0,0.0,True
I,M,13,1.0,0.000226,4428.5556,,0.0,0.0,True
M,V,15,0.75,0.000213,3516.7941,119538.0,0.0,0.0,True
IMZ,IMZ,5,0.217391,6.3e-05,3465.8261,,0.0,0.0,True
R,R,12,0.705882,0.000226,3126.0392,31876.4,0.0,0.0,True
M,M,5,0.25,0.000226,1107.1389,2043.1026,0.0,0.0,True
d,d,56,0.875,0.000815,1073.0731,61943.0,0.0,0.0,True
<nl>,n,3,0.272727,0.000263,1035.2468,1660.1042,0.0,1e-08,True
4,/,7,1.0,0.001392,718.1441,,0.0,0.0,True
5,/,6,1.0,0.001392,718.1441,,0.0,0.0,True
12,/,6,1.0,0.001392,718.1441,,0.0,0.0,True
14,/,4,1.0,0.001392,718.1441,,0.0,0.0,True
8,/,4,1.0,0.001392,718.1441,,0.0,0.0,True
7,/,4,1.0,0.001392,718.1441,,0.0,0.0,True
<PLXL>,P,6,1.0,0.00143,699.2456,,0.0,0.0,True
<al>,33,7,0.081395,0.000125,648.8349,2351.7932,0.0,0.0,True
-,12,6,0.039216,7.5e-05,521.0065,,0.0,0.0,True
-,8,4,0.026144,5e-05,521.0065,,0.0,0.0,True
-,7,4,0.026144,5e-05,521.0065,,0.0,0.0,True
2,/,23,0.638889,0.001392,458.8143,1600.1486,0.0,0.0,True
-,14,3,0.019608,5e-05,390.7549,1591.2,3e-08,9e-08,True
33,<lg>,7,0.583333,0.00202,288.8188,723.1636,0.0,0.0,True
IMZ,-,12,0.521739,0.001944,268.322,606.8506,0.0,0.0,True
-,5,3,0.019608,7.5e-05,260.5033,530.3867,1.4e-07,4.4e-07,True
r,r,214,0.789668,0.003412,231.425,5138.654,0.0,0.0,True
-,2,16,0.104575,0.000464,225.3001,442.3497,0.0,0.0,True
-,4,3,0.019608,8.8e-05,223.2885,397.785,2.4e-07,7.7e-07,True
<AL>,A,4,0.8,0.003751,213.2816,1076.8,0.0,0.0,True
MZ,-,4,0.363636,0.001944,187.0123,301.0482,0.0,2e-08,True
V,-,5,0.294118,0.001944,151.26,220.9639,0.0,0.0,True
v,>,14,0.02349,0.000176,133.7483,,0.0,0.0,True
v,),56,0.09396,0.000728,129.1363,4102.3111,0.0,0.0,True
3,<PLXL>,4,0.009412,7.5e-05,125.0416,376.6603,1e-08,4e-08,True
<l3>,<lg>,7,0.25,0.00202,123.7795,172.1472,0.0,0.0,True
),(11),5,0.104167,0.000891,116.9513,140.2396,0.0,0.0,True
A,P,44,0.152249,0.00143,106.4595,203.593,0.0,0.0,True
<LP>,L,4,1.0,0.009471,105.5815,,1e-08,3e-08,True
<LX>,L,3,1.0,0.009471,105.5815,,8.5e-07,2.5e-06,True
L,X,60,0.078637,0.000753,104.4744,,0.0,0.0,True
L,<PL>,10,0.013106,0.000125,104.4744,,0.0,0.0,True
L,<XL>,3,0.003932,3.8e-05,104.4744,,8.7e-07,2.57e-06,True
(8),<lp>,6,0.146341,0.001405,104.1559,128.6798,0.0,0.0,True
X,L,59,0.983333,0.009471,103.8218,6693.2787,0.0,0.0,True
<pl>,<al>,3,0.0625,0.000627,99.6425,112.9348,3.94e-06,1.084e-05,True
P,G,45,0.39823,0.004353,91.4827,173.7658,0.0,0.0,True
/,v,74,0.666667,0.007527,88.5711,300.673,0.0,0.0,True
<la>,<l3>,8,0.029963,0.000364,82.3598,116.8244,0.0,0.0,True
P,P,13,0.115044,0.00143,80.4442,102.3267,0.0,0.0,True
v,v,358,0.600671,0.007527,79.8032,490.2703,0.0,0.0,True
L,A,223,0.292267,0.003751,77.9191,428.5849,0.0,0.0,True
G,G,118,0.331461,0.004353,76.1443,171.3189,0.0,0.0,True
(3),<ll(3)ga(3)>,4,0.003565,5e-05,71.0463,,4e-08,1.3e-07,True
(3),<lplapg>,3,0.002674,3.8e-05,71.0463,,2.78e-06,7.79e-06,True
r,R,4,0.01476,0.000226,65.3661,84.9963,3.9e-07,1.2e-06,True
G,L,217,0.609551,0.009471,64.3572,228.7173,0.0,0.0,True
2>,<la>,4,0.210526,0.003462,60.804,77.8657,5.2e-07,1.61e-06,True
-,v,70,0.457516,0.007527,60.7841,125.7597,0.0,0.0,True
2,-,4,0.111111,0.001944,57.1427,65.8336,7.7e-07,2.3e-06,True
3,<lg>,47,0.110588,0.00202,54.7542,86.3554,0.0,0.0,True
R,r,3,0.176471,0.003412,51.7176,63.2724,2.579e-05,6.536e-05,True
A,G,63,0.217993,0.004353,50.0781,77.6811,0.0,0.0,True
(9),<pl>,3,0.027027,0.000552,48.9644,53.9038,3.338e-05,8.328e-05,True
A,A,51,0.176471,0.003751,47.0474,68.4133,0.0,0.0,True
V,3,4,0.235294,0.005332,44.1323,57.9397,1.79e-06,5.15e-06,True
(6),<lp>,6,0.061856,0.001405,44.0247,49.4574,1e-08,2e-08,True
3,<glla>,62,0.145882,0.003462,42.1336,63.1118,0.0,0.0,True
L,L,289,0.378768,0.009471,39.9909,102.6881,0.0,0.0,True
A,<GLLA>,10,0.034602,0.000878,39.4039,47.4104,0.0,0.0,True
P,L,41,0.362832,0.009471,38.3083,62.9156,0.0,0.0,True
<GLLA>,A,11,0.141026,0.003751,37.5977,45.2336,0.0,0.0,True
<al>,3,17,0.197674,0.005332,37.0763,47.8382,0.0,0.0,True
L,P,40,0.052425,0.00143,36.6577,58.9713,0.0,0.0,True
<GLLA>,P,4,0.051282,0.00143,35.8587,39.0791,5.21e-06,1.419e-05,True
/,<lg>,8,0.072072,0.00202,35.6842,40.3325,0.0,0.0,True
3,/,19,0.044706,0.001392,32.1053,40.2855,0.0,0.0,True
a,(1),9,0.00442,0.000138,32.0337,172.443,0.0,0.0,True
<lg>,<lp>,7,0.042683,0.001405,30.3788,33.7346,0.0,2e-08,True
<2>,<la>,4,0.102564,0.003462,29.6224,33.3626,1.051e-05,2.813e-05,True
(5),2>,3,0.006865,0.000238,28.8019,34.2429,0.00014853,0.00035752,True
<pl>,(5),8,0.166667,0.005896,28.2674,34.2874,0.0,0.0,True
P,-,6,0.053097,0.001944,27.3071,29.901,1e-07,3.4e-07,True
2>,(5),3,0.157895,0.005896,26.7796,31.81,0.00018396,0.00043839,True
22,(3),4,0.363636,0.014163,25.6749,39.9126,1.22e-05,3.211e-05,True
(9),<lp>,4,0.036036,0.001405,25.648,27.5164,1.969e-05,5.099e-05,True
3,<GLLA>,9,0.021176,0.000878,24.1152,28.0995,0.0,0.0,True
<GLLA>,3,10,0.128205,0.005332,24.0465,28.0726,0.0,0.0,True
(4),<lp>,11,0.033639,0.001405,23.9421,27.3263,0.0,0.0,True
2,(5),5,0.138889,0.005896,23.5561,27.4759,2.26e-06,6.45e-06,True
x,x,126,0.173554,0.007477,23.2125,35.0825,0.0,0.0,True
),(7),3,0.0625,0.002697,23.1727,24.9855,0.00030597,0.00071145,True
<pl>,(7),3,0.0625,0.002697,23.1727,24.9855,0.00030597,0.00071145,True
<lp>,<la>,8,0.073394,0.003462,21.1977,23.4482,1e-08,2e-08,True
<gl>,(7),9,0.05625,0.002697,20.8554,22.958,0.0,0.0,True
g,<lpg>,5,0.001221,6.3e-05,19.4709,,3.6e-07,1.12e-06,True
<a(2)l>,a,3,0.428571,0.022142,19.3559,33.1775,0.0003548,0.00080928,True
(7),<la>,14,0.065421,0.003462,18.8947,21.1705,0.0,0.0,True
<al>,x,12,0.139535,0.007477,18.6626,21.9485,0.0,0.0,True
<gl>,(6),4,0.025,0.001342,18.6248,19.7787,6.867e-05,0.00016869,True
-,3,15,0.098039,0.005332,18.3885,20.9838,0.0,0.0,True
<glla#>,g,4,1.0,0.05452,18.3419,,8.82e-06,2.374e-05,True
a,(13),13,0.006385,0.000351,18.1778,33.2713,0.0,0.0,True
<gl>,(9),4,0.025,0.00138,18.1168,19.2182,7.646e-05,0.00018687,True
3,(6),10,0.023529,0.001342,17.5292,19.6726,0.0,0.0,True
(6),3,9,0.092784,0.005332,17.4027,19.4714,0.0,1e-08,True
<2>,x,5,0.128205,0.007477,17.1472,19.6785,1.072e-05,2.838e-05,True
<,a,3,0.375,0.022142,16.9364,26.5417,0.00055831,0.00124387,True
3,(4),29,0.068235,0.004052,16.84,19.6768,0.0,0.0,True
(7),<lp>,5,0.023364,0.001405,16.6293,17.751,1.413e-05,3.699e-05,True
v,d,8,0.013423,0.000815,16.4613,18.8712,3e-08,1.1e-07,True
(9),<la>,6,0.054054,0.003462,15.6118,16.7901,2.72e-06,7.68e-06,True
<gl>,(3),35,0.21875,0.014163,15.445,20.0812,0.0,0.0,True
x,2,5,0.006887,0.000464,14.8377,17.1108,2.117e-05,5.393e-05,True
<al>,a,28,0.325581,0.022142,14.7045,21.648,0.0,0.0,True
a,#,3,0.001473,0.0001,14.6821,22.9237,0.00084618,0.00181225,True
a,s,3,0.001473,0.0001,14.6821,22.9237,0.00084618,0.00181225,True
(3),<la>,57,0.050802,0.003462,14.6726,19.1535,0.0,0.0,True
d,v,7,0.109375,0.007527,14.5312,16.3723,5.7e-07,1.71e-06,True
x,<2>,5,0.006887,0.000489,14.0768,16.1039,2.754e-05,6.943e-05,True
a,(9),39,0.019155,0.00138,13.8813,21.3466,0.0,0.0,True
3,(2),68,0.16,0.011729,13.6409,17.229,0.0,0.0,True
-,<lg>,4,0.026144,0.00202,12.9443,13.5774,0.0002784,0.00065369,True
(7),<gl>,5,0.023364,0.001832,12.7567,13.4648,5.048e-05,0.00012528,True
(4),3,22,0.067278,0.005332,12.6189,14.137,0.0,0.0,True
<glla>,3,18,0.066176,0.005332,12.4122,13.7614,0.0,0.0,True
A,(5),21,0.072664,0.005896,12.3242,13.7827,0.0,0.0,True
<GLLA>,G,4,0.051282,0.004353,11.7807,12.4959,0.00039053,0.00088656,True
a,<GLLA>,21,0.010314,0.000878,11.7457,16.511,0.0,0.0,True
a,(23),3,0.001473,0.000125,11.7457,16.3736,0.00174503,0.00360289,True
g,<plxl>,6,0.001466,0.000125,11.6826,27.7456,3.21e-06,8.89e-06,True
g,g,2606,0.636541,0.05452,11.6754,74.3617,0.0,0.0,True
a,(4),96,0.047151,0.004052,11.6366,16.8838,0.0,0.0,True
(5),G,22,0.050343,0.004353,11.565,12.8782,0.0,0.0,True
(5),<lp>,7,0.016018,0.001405,11.4007,12.2747,3.13e-06,8.72e-06,True
A,L,31,0.107266,0.009471,11.3253,13.0612,0.0,0.0,True
(5),<gl>,9,0.020595,0.001832,11.2446,12.1471,1.4e-07,4.4e-07,True
(3),2>,3,0.002674,0.000238,11.2178,13.1662,0.00227718,0.00464156,True
(2),<glla>,38,0.038776,0.003462,11.1991,13.3046,0.0,0.0,True
a,(14),4,0.001965,0.000176,11.1864,15.289,0.00034596,0.0007929,True
2>,(3),3,0.157895,0.014163,11.1483,13.0832,0.00231766,0.00470406,True
a,(11),20,0.009823,0.000891,11.0288,15.1002,0.0,0.0,True
<glla>,(2),35,0.128676,0.011729,10.9704,12.8878,0.0,0.0,True
(2),3,56,0.057143,0.005332,10.7178,12.871,0.0,0.0,True
<pl>,(2),6,0.125,0.011729,10.657,12.1078,2.067e-05,5.294e-05,True
3,(3),64,0.150588,0.014163,10.6324,13.0216,0.0,0.0,True
g,<lx>,7,0.00171,0.000163,10.4843,21.5846,1.22e-06,3.55e-06,True
a,(8),11,0.005403,0.000527,10.2542,13.606,1e-08,2e-08,True
a,(7),56,0.027505,0.002697,10.1978,13.789,0.0,0.0,True
a,(5),118,0.057957,0.005896,9.8297,13.515,0.0,0.0,True
g,<l(2)g>,4,0.000977,0.0001,9.7355,18.488,0.00041146,0.00092531,True
>,a,3,0.214286,0.022142,9.6779,12.0635,0.00328548,0.00653007,True
G,<GLLA>,3,0.008427,0.000878,9.5964,10.0576,0.00387512,0.0076386,True
3,(5),24,0.056471,0.005896,9.5777,10.5802,0.0,0.0,True
x,<lg>,14,0.019284,0.00202,9.5477,10.5459,0.0,0.0,True
<gl>,(5),9,0.05625,0.005896,9.5402,10.2259,5.5e-07,1.67e-06,True
3,<la>,14,0.032941,0.003462,9.514,10.2745,0.0,0.0,True
(13),g,15,0.517241,0.05452,9.4872,18.6415,0.0,0.0,True
(2),<lp>,13,0.013265,0.001405,9.4413,10.6782,0.0,1e-08,True
g,e,13,0.003175,0.000339,9.3749,17.203,0.0,0.0,True
(5),<la>,14,0.032037,0.003462,9.2528,9.9815,0.0,0.0,True
(6),<la>,3,0.030928,0.003462,8.9325,9.2757,0.00476244,0.00919843,True
(2),2,4,0.004082,0.000464,8.7936,9.7741,0.001086,0.00229161,True
x,<al>,4,0.00551,0.000627,8.7839,9.5076,0.00112729,0.00236831,True
(3),<gl>,18,0.016043,0.001832,8.7591,9.9946,0.0,0.0,True
3,(7),10,0.023529,0.002697,8.7238,9.2958,3e-07,9.4e-07,True
a,(12),3,0.001473,0.000176,8.3898,10.419,0.00490399,0.00937246,True
<la>,(6),3,0.011236,0.001342,8.3707,8.6695,0.0057065,0.01080401,True
(3),3,50,0.044563,0.005332,8.3584,9.7285,0.0,0.0,True
<la>,(9),3,0.011236,0.00138,8.1424,8.4261,0.00615954,0.01152508,True
L,G,26,0.034076,0.004353,7.8281,8.6415,0.0,0.0,True
a,(3),225,0.110511,0.014163,7.8027,10.5514,0.0,0.0,True
(2),<gl>,14,0.014286,0.001832,7.7998,8.63,0.0,2e-08,True
<gl>,(4),5,0.03125,0.004052,7.7123,8.0377,0.0005203,0.0011646,True
(3),<lp>,12,0.010695,0.001405,7.6121,8.4856,7e-08,2.3e-07,True
(2),<lg>,15,0.015306,0.00202,7.5783,8.367,0.0,1e-08,True
),(3),5,0.104167,0.014163,7.3548,8.1253,0.00058401,0.0012951,True
(19),a,3,0.157895,0.022142,7.1311,8.2931,0.00805493,0.01483967,True
A,-,4,0.013841,0.001944,7.1181,7.3683,0.00254892,0.00515162,True
a,<glla>,49,0.024067,0.003462,6.9509,8.4139,0.0,0.0,True
<la>,(7),5,0.018727,0.002697,6.9431,7.2007,0.00083744,0.00181225,True
3,(9),4,0.009412,0.00138,6.8204,7.0975,0.00294822,0.00590877,True
a,(2),158,0.077603,0.011729,6.6161,8.3267,0.0,0.0,True
<GLLA>,(2),6,0.076923,0.011729,6.5581,7.0602,0.00032124,0.00074336,True
(3),<pl>,4,0.003565,0.000552,6.4588,7.0261,0.00338918,0.00670833,True
(7),3,7,0.03271,0.005332,6.1352,6.3978,0.00016723,0.00040051,True
(14),g,4,0.333333,0.05452,6.114,8.678,0.00306564,0.00611851,True
(10),a,4,0.133333,0.022142,6.0218,6.8076,0.00414771,0.00814243,True
<pl>,(3),4,0.083333,0.014163,5.8838,6.3467,0.00475045,0.00919843,True
A,3,9,0.031142,0.005332,5.841,6.1047,2.946e-05,7.387e-05,True
(2),<GLLA>,5,0.005102,0.000878,5.8101,6.2066,0.00173982,0.00360289,True
(4),g,103,0.314985,0.05452,5.7774,8.1435,0.0,0.0,True
A,(3),23,0.079585,0.014163,5.6192,6.1229,0.0,0.0,True
(2),r,18,0.018367,0.003412,5.3828,5.7813,1e-08,4e-08,True
(9),g,32,0.288288,0.05452,5.2878,7.0693,0.0,0.0,True
(5),3,12,0.02746,0.005332,5.1505,5.3916,5.16e-06,1.412e-05,True
a,(6),14,0.006876,0.001342,5.1227,5.7762,6.4e-07,1.91e-06,True
(3),G,25,0.022282,0.004353,5.1186,5.5395,0.0,0.0,True
<la>,(5),8,0.029963,0.005896,5.0818,5.2807,0.00021019,0.00049596,True
(23),g,3,0.272727,0.05452,5.0023,6.507,0.01920451,0.03369583,True
(5),g,118,0.270023,0.05452,4.9527,6.566,0.0,0.0,True
3,P,3,0.007059,0.00143,4.9359,5.071,0.02341887,0.04064363,True
#,g,5,0.263158,0.05452,4.8268,6.1995,0.00293473,0.00590645,True
(2),a,102,0.104082,0.022142,4.7007,5.384,0.0,0.0,True
a,(15),3,0.001473,0.000314,4.6983,5.2088,0.02517082,0.04352644,True
L,(3),49,0.06422,0.014163,4.5343,4.9482,0.0,0.0,True
a,(10),3,0.001473,0.000326,4.5176,4.9822,0.02792585,0.04811684,True
(3),L,48,0.042781,0.009471,4.5169,4.9235,0.0,0.0,True
(8),g,10,0.243902,0.05452,4.4736,5.6048,5.406e-05,0.00013347,True
(2),G,19,0.019388,0.004353,4.4538,4.7261,9e-08,3e-07,True
(4),<la>,5,0.015291,0.003462,4.4162,4.5332,0.00588032,0.01108927,True
(3),<lg>,10,0.008913,0.00202,4.4128,4.6716,0.00010511,0.00025428,True
a,-,17,0.00835,0.001944,4.2941,4.7311,5.5e-07,1.67e-06,True
L,(2),38,0.049803,0.011729,4.246,4.5609,0.0,0.0,True
<GLLA>,g,18,0.230769,0.05452,4.2328,5.2201,1.6e-07,5.1e-07,True
(7),g,49,0.228972,0.05452,4.1998,5.1973,0.0,0.0,True
<la>,(2),13,0.048689,0.011729,4.151,4.359,2.006e-05,5.167e-05,True
(11),g,16,0.219178,0.05452,4.0201,4.8822,1.6e-06,4.61e-06,True
a,<2>,4,0.001965,0.000489,4.0156,4.3669,0.01715977,0.03033036,True
g,<lg>,33,0.008061,0.00202,3.9909,4.7926,0.0,0.0,True
<la>,(3),15,0.05618,0.014163,3.9666,4.1855,7.94e-06,2.148e-05,True
<al>,(2),4,0.046512,0.011729,3.9654,4.1234,0.01873267,0.03298878,True
(2),L,36,0.036735,0.009471,3.8785,4.1379,0.0,0.0,True
(2),<la>,12,0.012245,0.003462,3.5366,3.6847,0.00018668,0.00044266,True
a,v,54,0.026523,0.007527,3.5237,3.8489,0.0,0.0,True
<glla>,g,52,0.191176,0.05452,3.5065,4.1365,0.0,0.0,True
r,(2),11,0.04059,0.011729,3.4606,3.5952,0.00041131,0.00092531,True
r,3,5,0.01845,0.005332,3.4606,3.5367,0.01562308,0.02771649,True
a,<la>,23,0.011297,0.003462,3.2627,3.4966,9e-07,2.63e-06,True
A,(2),11,0.038062,0.011729,3.245,3.3616,0.00070035,0.00153883,True
(3),g,197,0.175579,0.05452,3.2205,3.8212,0.0,0.0,True
a,a,140,0.068762,0.022142,3.1056,3.4558,0.0,0.0,True
(2),g,154,0.157143,0.05452,2.8823,3.3153,0.0,0.0,True
<glla>,(3),11,0.040441,0.014163,2.8554,2.9526,0.00192016,0.00394745,True
),g,7,0.145833,0.05452,2.6749,2.964,0.01470906,0.0262897,True
(6),g,14,0.14433,0.05452,2.6473,2.9314,0.00078442,0.00170789,True
(3),<glla>,10,0.008913,0.003462,2.5741,2.648,0.00621174,0.01157752,True
p,<lxlp>,5,0.000161,6.3e-05,2.5608,,0.00907816,0.0165971,True
p,<(2r)p>,4,0.000129,5e-05,2.5608,,0.0232496,0.04049657,True
<plxl>,p,10,1.0,0.390596,2.5602,,8.258e-05,0.0002008,True
p,p,29619,0.951523,0.390596,2.4361,609.0186,0.0,0.0,True
l,<3lpl>,4,0.000122,5e-05,2.4298,,0.02868672,0.04890014,True
l,4>,4,0.000122,5e-05,2.4298,,0.02868672,0.04890014,True
l,[,4,0.000122,5e-05,2.4298,,0.02868672,0.04890014,True
<lx>,l,13,1.0,0.414344,2.4135,,1.059e-05,2.819e-05,True
(27),l,5,1.0,0.414344,2.4135,,0.01221032,0.02207073,True
